repository,createdAt,age,pullRequests,releases,updatedAt,daysSinceUpdate,primaryLanguage,closedIssues,totalIssues,issuesRatio
rome/tools,2020-02-20 05:57:33,1092,2536,75,2023-02-16 12:28:23,2:28:36.030907,Rust,1121,1256,0.892515923566879
dotnet-architecture/eShopOnContainers,2016-10-05 22:35:23,2324,511,11,2023-02-16 14:55:16,0:01:43.030907,C#,1187,1208,0.9826158940397351
vapor/vapor,2016-01-18 22:37:52,2585,1094,471,2023-02-16 12:14:18,2:42:41.030907,Swift,1452,1545,0.9398058252427185
zhiwehu/Python-programming-exercises,2012-06-14 07:56:46,3899,0,0,2023-02-16 14:52:38,0:04:21.030907,none,11,72,0.1527777777777778
emberjs/ember.js,2011-05-25 23:39:40,4284,7924,477,2023-02-16 11:45:36,3:11:23.030907,JavaScript,6272,6639,0.944720590450369
redux-saga/redux-saga,2015-11-29 16:58:12,2635,666,68,2023-02-16 11:39:59,3:17:00.030907,JavaScript,1451,1468,0.9884196185286104
MostlyAdequate/mostly-adequate-guide,2015-05-06 01:44:15,2843,270,1,2023-02-16 14:24:38,0:32:21.030907,JavaScript,203,272,0.7463235294117647
balderdashy/sails,2012-03-18 19:46:15,3986,538,40,2023-02-16 12:07:07,2:49:52.030907,JavaScript,5847,6336,0.9228219696969697
guzzle/guzzle,2011-02-28 02:44:05,4371,888,53,2023-02-15 11:41:44,"1 day, 3:15:15.030907",PHP,1771,1787,0.9910464465584778
StevenBlack/hosts,2012-04-12 20:22:50,3961,419,508,2023-02-16 14:31:15,0:25:44.030907,Python,1548,1580,0.979746835443038
ovity/octotree,2014-05-09 18:15:20,3204,249,0,2023-02-16 03:16:41,11:40:18.030907,JavaScript,711,751,0.9467376830892144
facebookarchive/draft-js,2016-02-19 20:18:26,2553,216,26,2023-02-15 17:47:16,21:09:43.030907,JavaScript,978,1775,0.5509859154929577
k3s-io/k3s,2018-05-31 01:37:46,1722,2288,504,2023-02-16 07:26:27,7:30:32.030907,Go,3664,3915,0.9358876117496807
nicolargo/glances,2011-12-04 08:49:15,4092,474,31,2023-02-16 13:59:53,0:57:06.030907,Python,1367,1606,0.8511830635118306
taichi-dev/taichi,2016-11-24 10:00:05,2275,4520,111,2023-02-16 09:18:52,5:38:07.030907,C++,1628,2286,0.7121609798775154
github/hub,2009-12-05 22:15:25,4820,400,60,2023-02-16 03:03:02,11:53:57.030907,Go,1770,2005,0.8827930174563591
fouber/blog,2014-04-25 09:44:42,3219,1,0,2023-02-16 14:40:43,0:16:16.030907,none,5,15,0.3333333333333333
neoclide/coc.nvim,2018-05-01 22:39:02,1751,678,82,2023-02-16 14:43:19,0:13:40.030907,TypeScript,3048,3065,0.9944535073409462
ApolloAuto/apollo,2017-07-04 19:03:31,2052,9698,11,2023-02-16 10:14:05,4:42:54.030907,C++,3411,3845,0.8871261378413524
remix-run/remix,2020-10-26 19:57:28,842,1700,105,2023-02-16 13:21:08,1:35:51.030907,TypeScript,1155,1348,0.8568249258160238
t4t5/sweetalert,2014-09-30 11:12:48,3061,84,13,2023-02-16 02:45:01,12:11:58.030907,TypeScript,548,707,0.7751060820367751
NativeScript/NativeScript,2015-03-01 09:47:08,2909,3014,133,2023-02-16 12:59:32,1:57:27.030907,TypeScript,5619,6537,0.8595686094538779
eslint/eslint,2013-06-29 23:59:48,3518,5407,286,2023-02-16 08:51:36,6:05:23.030907,JavaScript,9377,9492,0.9878845343447114
keon/algorithms,2016-11-17 22:32:08,2281,423,1,2023-02-16 11:37:23,3:19:36.030907,Python,97,156,0.6217948717948718
sirupsen/logrus,2013-10-16 19:08:55,3409,398,14,2023-02-16 03:28:39,11:28:20.030907,Go,649,653,0.9938744257274119
react-navigation/react-navigation,2017-01-26 19:51:40,2211,1038,1269,2023-02-16 05:45:12,9:11:47.030907,TypeScript,8369,8960,0.9340401785714286
markerikson/react-redux-links,2016-01-22 02:10:28,2582,62,0,2023-02-16 14:22:34,0:34:25.030907,none,22,38,0.5789473684210527
komeiji-satori/Dress,2018-02-11 03:49:29,1831,582,0,2023-02-16 11:49:12,3:07:47.030907,none,312,368,0.8478260869565217
spf13/viper,2014-04-02 14:33:33,3242,277,22,2023-02-16 13:57:25,0:59:34.030907,Go,417,774,0.5387596899224806
Tencent/wepy,2016-11-14 08:06:56,2285,465,8,2023-02-16 07:17:09,7:39:50.030907,JavaScript,1790,2143,0.8352776481567895
harvesthq/chosen,2011-04-18 15:07:41,4321,310,34,2023-02-11 07:33:02,"5 days, 7:23:57.030907",HTML,2121,2370,0.8949367088607595
microsoft/cascadia-code,2019-07-10 22:50:20,1316,71,17,2023-02-16 14:52:23,0:04:36.030907,Python,455,562,0.8096085409252669
pnpm/pnpm,2016-01-28 07:40:43,2576,1564,815,2023-02-16 13:49:23,1:07:36.030907,TypeScript,2055,3058,0.6720078482668411
facebook/flow,2014-10-28 17:17:45,3032,160,283,2023-02-14 09:56:53,"2 days, 5:00:06.030907",OCaml,4702,6613,0.7110237411159837
bilibili/flv.js,2016-05-12 08:34:31,2471,20,15,2023-02-16 11:05:49,3:51:10.030907,JavaScript,298,700,0.4257142857142857
eriklindernoren/ML-From-Scratch,2017-02-05 12:11:23,2202,9,0,2023-02-16 07:08:54,7:48:05.030907,Python,36,66,0.5454545454545454
Polymer/polymer,2012-08-23 20:56:30,3828,1071,115,2023-02-15 15:20:49,23:36:10.030907,HTML,3865,3909,0.9887439242773087
viatsko/awesome-vscode,2016-02-07 23:02:45,2565,242,0,2023-02-16 11:49:34,3:07:25.030907,JavaScript,25,44,0.5681818181818182
AykutSarac/jsoncrack.com,2022-01-30 15:25:18,381,57,16,2023-02-16 13:07:36,1:49:23.030907,TypeScript,129,168,0.7678571428571429
google/jax,2018-10-25 21:25:02,1574,6737,59,2023-02-16 14:48:11,0:08:48.030907,Python,2860,3885,0.7361647361647362
mochajs/mocha,2011-03-07 18:44:25,4363,1170,76,2023-02-16 09:27:53,5:29:06.030907,JavaScript,2615,2863,0.9133775759692631
bevyengine/bevy,2020-01-18 21:13:55,1124,557,12,2023-02-16 14:33:56,0:23:03.030907,Rust,1780,2762,0.6444605358435916
rwaldron/idiomatic.js,2011-05-25 17:48:59,4284,114,0,2023-02-16 07:10:40,7:46:19.030907,none,48,80,0.6
yeasy/docker_practice,2014-09-05 04:06:39,3086,251,15,2023-02-16 14:51:29,0:05:30.030907,Go,200,203,0.9852216748768473
usablica/intro.js,2013-03-10 15:12:45,3629,388,32,2023-02-16 10:56:58,4:00:01.030907,JavaScript,714,764,0.9345549738219895
